user_id,movie_id,rating,timestamp
1,375,1,2024-08-05 01:56:43.114370
1,370,4,2024-11-29 01:56:43.114370
1,758,2,2024-11-27 01:56:43.114370
1,606,4,2024-09-05 01:56:43.114370
1,616,4,2025-02-14 01:56:43.114370
1,112,4,2025-05-08 01:56:43.114370
1,530,2,2025-05-17 01:56:43.114370
1,336,1,2025-02-08 01:56:43.114370
1,30,2,2024-09-23 01:56:43.114370
1,342,5,2024-12-17 01:56:43.114370
2,202,3,2025-03-05 01:56:43.114370
2,839,2,2025-02-04 01:56:43.114370
2,650,2,2025-02-07 01:56:43.114370
2,343,2,2024-08-08 01:56:43.114370
2,626,3,2024-12-21 01:56:43.114370
2,305,1,2025-05-12 01:56:43.114370
2,565,3,2024-09-22 01:56:43.114370
2,483,1,2025-07-19 01:56:43.114370
2,334,1,2025-06-27 01:56:43.114370
2,181,5,2025-02-18 01:56:43.114370
2,694,4,2025-07-03 01:56:43.114370
2,716,4,2024-08-24 01:56:43.114370
2,50,5,2025-01-23 01:56:43.114370
2,708,1,2025-01-22 01:56:43.114370
2,844,4,2025-01-08 01:56:43.114370
2,456,1,2024-10-26 01:56:43.114370
2,490,4,2025-02-10 01:56:43.114370
2,934,1,2024-12-31 01:56:43.114370
2,133,4,2024-11-18 01:56:43.114370
2,713,1,2024-08-20 01:56:43.114370
2,499,3,2025-05-08 01:56:43.114370
2,345,4,2025-07-31 01:56:43.114370
2,9,3,2025-01-04 01:56:43.114370
2,5,1,2024-10-22 01:56:43.114370
2,959,2,2025-05-26 01:56:43.114370
3,6,3,2025-06-20 01:56:43.114370
3,639,3,2025-03-17 01:56:43.114370
3,716,3,2024-11-03 01:56:43.114370
3,869,5,2024-10-24 01:56:43.114370
3,400,2,2025-07-17 01:56:43.114370
3,937,4,2025-07-13 01:56:43.114370
3,104,4,2025-05-29 01:56:43.114370
3,369,2,2025-02-04 01:56:43.114370
3,687,1,2025-01-18 01:56:43.114370
3,55,1,2025-05-13 01:56:43.114370
3,42,4,2025-02-27 01:56:43.114370
3,321,5,2024-08-25 01:56:43.114370
3,621,3,2025-04-28 01:56:43.114370
3,816,5,2025-04-06 01:56:43.114370
3,47,2,2024-12-01 01:56:43.114370
3,2,3,2025-07-16 01:56:43.114370
3,746,2,2024-09-07 01:56:43.114370
3,749,4,2025-07-28 01:56:43.114370
3,641,1,2025-05-16 01:56:43.114370
3,814,5,2025-05-20 01:56:43.114370
3,624,5,2025-01-29 01:56:43.114370
3,949,5,2025-04-13 01:56:43.114370
3,90,1,2024-12-24 01:56:43.114370
4,934,4,2025-05-13 01:56:43.114370
4,971,5,2025-04-01 01:56:43.114370
4,217,3,2025-02-09 01:56:43.114370
4,831,4,2025-04-20 01:56:43.114370
4,50,4,2025-06-01 01:56:43.114370
4,995,5,2024-09-17 01:56:43.114370
4,199,1,2024-11-19 01:56:43.114370
4,816,2,2025-07-26 01:56:43.114370
4,34,5,2024-09-16 01:56:43.114370
4,691,4,2025-02-01 01:56:43.114370
4,408,4,2025-03-11 01:56:43.114370
4,931,4,2025-03-24 01:56:43.114370
5,997,5,2025-03-10 01:56:43.114370
5,318,3,2025-03-08 01:56:43.114370
5,343,3,2025-05-01 01:56:43.114370
5,853,2,2025-05-30 01:56:43.114370
5,897,4,2024-12-26 01:56:43.114370
5,356,4,2025-05-26 01:56:43.114370
5,921,5,2025-06-01 01:56:43.114370
5,431,2,2024-10-25 01:56:43.114370
5,724,4,2024-11-25 01:56:43.114370
5,104,1,2025-06-14 01:56:43.114370
5,50,5,2024-12-23 01:56:43.114370
5,730,3,2024-09-14 01:56:43.114370
5,86,3,2025-01-21 01:56:43.114370
5,837,3,2025-01-01 01:56:43.114370
5,296,5,2025-06-26 01:56:43.114370
5,811,5,2025-03-22 01:56:43.114370
5,969,2,2025-02-03 01:56:43.114370
5,546,5,2024-11-14 01:56:43.114370
5,118,2,2025-04-25 01:56:43.114370
5,1000,5,2024-10-07 01:56:43.114370
5,424,4,2025-05-09 01:56:43.114370
5,891,2,2024-11-22 01:56:43.114370
5,501,3,2024-10-03 01:56:43.114370
5,446,4,2024-12-02 01:56:43.114370
5,443,4,2024-10-17 01:56:43.114370
6,218,2,2025-03-27 01:56:43.114370
6,855,3,2025-05-01 01:56:43.114370
6,662,1,2025-02-23 01:56:43.114370
6,337,2,2025-07-20 01:56:43.114370
6,663,2,2025-03-22 01:56:43.114370
6,257,1,2024-09-05 01:56:43.114370
6,793,2,2025-03-23 01:56:43.114370
6,651,2,2025-07-17 01:56:43.114370
6,96,3,2025-01-03 01:56:43.114370
6,798,4,2025-03-24 01:56:43.114370
7,335,3,2025-05-11 01:56:43.114370
7,68,5,2025-01-12 01:56:43.114370
7,440,3,2025-01-30 01:56:43.114370
7,695,3,2024-11-11 01:56:43.114370
7,75,2,2024-11-27 01:56:43.114370
7,959,4,2025-02-03 01:56:43.114370
7,421,2,2025-07-05 01:56:43.114370
7,203,2,2025-03-05 01:56:43.114370
7,445,5,2025-04-01 01:56:43.114370
7,1000,5,2024-12-02 01:56:43.114370
7,598,2,2025-01-17 01:56:43.114370
7,789,5,2025-04-17 01:56:43.114370
7,145,5,2024-10-17 01:56:43.114370
7,841,2,2024-11-23 01:56:43.114370
7,757,5,2025-06-29 01:56:43.114370
7,865,2,2024-12-20 01:56:43.114370
7,748,3,2025-01-16 01:56:43.114370
7,138,1,2025-04-01 01:56:43.114370
7,773,4,2024-08-03 01:56:43.114370
7,794,3,2024-08-05 01:56:43.114370
7,14,2,2024-10-04 01:56:43.114370
8,175,3,2025-05-03 01:56:43.114370
8,900,3,2024-10-30 01:56:43.114370
8,331,5,2025-04-20 01:56:43.114370
8,961,4,2025-02-16 01:56:43.114370
8,374,3,2024-12-15 01:56:43.114370
8,140,4,2024-08-11 01:56:43.114370
8,53,4,2024-09-26 01:56:43.114370
8,854,1,2024-11-30 01:56:43.114370
8,871,1,2024-11-07 01:56:43.114370
8,346,5,2025-04-21 01:56:43.114370
9,795,1,2025-05-15 01:56:43.114370
9,391,5,2024-11-19 01:56:43.114370
9,690,1,2024-08-31 01:56:43.114370
9,469,1,2025-01-10 01:56:43.114370
9,799,2,2025-01-13 01:56:43.114370
9,88,5,2024-12-23 01:56:43.114370
9,833,4,2024-10-09 01:56:43.114370
9,241,5,2025-04-04 01:56:43.114370
9,807,5,2025-05-07 01:56:43.114370
9,307,2,2024-12-16 01:56:43.114370
9,349,4,2025-03-12 01:56:43.114370
9,510,4,2025-07-29 01:56:43.114370
9,857,1,2024-12-12 01:56:43.114370
9,633,4,2025-04-24 01:56:43.114370
9,279,1,2024-11-24 01:56:43.114370
9,166,3,2024-10-14 01:56:43.114370
9,102,3,2024-09-25 01:56:43.114370
9,137,5,2024-12-02 01:56:43.114370
9,642,3,2024-10-31 01:56:43.114370
9,730,3,2025-04-28 01:56:43.114370
9,552,5,2024-10-26 01:56:43.114370
9,273,1,2024-09-23 01:56:43.114370
9,491,2,2025-07-14 01:56:43.114370
9,320,2,2024-10-11 01:56:43.114370
9,152,4,2025-06-03 01:56:43.114370
9,562,1,2024-11-21 01:56:43.114370
9,64,4,2025-07-18 01:56:43.114370
9,462,5,2025-04-28 01:56:43.114370
9,658,3,2024-08-25 01:56:43.114370
9,460,3,2024-08-30 01:56:43.114370
9,931,5,2025-01-09 01:56:43.114370
9,377,3,2025-06-07 01:56:43.114370
9,142,5,2024-09-23 01:56:43.114370
9,875,5,2025-02-04 01:56:43.114370
9,811,5,2025-03-27 01:56:43.114370
10,20,2,2024-09-02 01:56:43.114370
10,200,1,2025-04-20 01:56:43.114370
10,580,5,2025-05-16 01:56:43.114370
10,730,1,2025-06-06 01:56:43.114370
10,10,4,2024-10-31 01:56:43.114370
10,912,5,2025-03-21 01:56:43.114370
